Año,Mes,Día,Hora(utc),Altura(mm)
2016,3,10,11,-86 
2016,3,10,12,49 
2016,3,10,13,232 
2016,3,10,14,416 
2016,3,10,15,558 
2016,3,10,16,627 
2016,3,10,17,598 
2016,3,10,18,473 
2016,3,10,19,292 
2016,3,10,20,109 
2016,3,10,21,-29 
2016,3,10,22,-91 
2016,3,10,23,-57 
2016,3,11,0,67 
2016,3,11,1,245 
2016,3,11,2,424 
2016,3,11,3,566 
2016,3,11,4,643 
2016,3,11,5,629 
2016,3,11,6,518 
2016,3,11,7,339 
2016,3,11,8,146 
2016,3,11,9,-13 
2016,3,11,10,-110 
2016,3,11,11,-124 
2016,3,11,12,-52 
2016,3,11,13,84 
2016,3,11,14,241 
2016,3,11,15,381 
2016,3,11,16,479 
2016,3,11,17,510 
2016,3,11,18,461 
2016,3,11,19,347 
2016,3,11,20,211 
2016,3,11,21,98 
2016,3,11,22,35 
2016,3,11,23,39 
2016,3,12,0,117 
2016,3,12,1,251 
2016,3,12,2,399 
2016,3,12,3,522 
2016,3,12,4,598 
2016,3,12,5,612 
2016,3,12,6,546 
2016,3,12,7,409 
2016,3,12,8,239 
2016,3,12,9,84 
2016,3,12,10,-29 
2016,3,12,11,-84 
2016,3,12,12,-71 
2016,3,12,13,2 
2016,3,12,14,109 
2016,3,12,15,215 
2016,3,12,16,301 
2016,3,12,17,355 
2016,3,12,18,361 
2016,3,12,19,316 
2016,3,12,20,241 
2016,3,12,21,174 
2016,3,12,22,138 
2016,3,12,23,144 
2016,3,13,0,196 
2016,3,13,1,289 
2016,3,13,2,399 
2016,3,13,3,492 
2016,3,13,4,548 
2016,3,13,5,563 
2016,3,13,6,528 
2016,3,13,7,437 
2016,3,13,8,309 
2016,3,13,9,179 
2016,3,13,10,77 
2016,3,13,11,11 
2016,3,13,12,-14 
2016,3,13,13,3 
2016,3,13,14,50 
2016,3,13,15,104 
2016,3,13,16,151 
2016,3,13,17,188 
2016,3,13,18,212 
2016,3,13,19,215 
2016,3,13,20,198 
2016,3,13,21,184 
2016,3,13,22,191 
2016,3,13,23,222 
2016,3,14,0,275 
2016,3,14,1,344 
2016,3,14,2,421 
2016,3,14,3,482 
2016,3,14,4,510 
2016,3,14,5,508 
2016,3,14,6,479 
2016,3,14,7,422 
2016,3,14,8,338 
2016,3,14,9,249 
2016,3,14,10,175 
2016,3,14,11,123 
2016,3,14,12,90 
2016,3,14,13,73 
2016,3,14,14,69 
2016,3,14,15,68 
2016,3,14,16,63 
2016,3,14,17,58 
2016,3,14,18,63 
2016,3,14,19,80 
2016,3,14,20,103 
2016,3,14,21,136 
2016,3,14,22,187 
2016,3,14,23,256 
2016,3,15,0,329 
2016,3,15,1,397 
2016,3,15,2,453 
2016,3,15,3,486 
2016,3,15,4,488 
2016,3,15,5,461 
2016,3,15,6,420 
2016,3,15,7,375 
2016,3,15,8,327 
2016,3,15,9,280 
2016,3,15,10,244 
2016,3,15,11,221 
2016,3,15,12,203 
2016,3,15,13,180 
2016,3,15,14,146 
2016,3,15,15,100 
2016,3,15,16,44 
2016,3,15,17,-11 
2016,3,15,18,-45 
2016,3,15,19,-46 
2016,3,15,20,-12 
2016,3,15,21,52 
2016,3,15,22,142 
2016,3,15,23,246 
2016,3,16,0,349 
2016,3,16,1,431 
2016,3,16,2,482 
2016,3,16,3,497 
2016,3,16,4,476 
2016,3,16,5,426 
2016,3,16,6,366 
2016,3,16,7,316 
2016,3,16,8,286 
2016,3,16,9,273 
2016,3,16,10,277 
2016,3,16,11,291 
2016,3,16,12,302 
2016,3,16,13,291 
2016,3,16,14,250 
2016,3,16,15,178 
2016,3,16,16,82 
2016,3,16,17,-19 
2016,3,16,18,-99 
2016,3,16,19,-134 
2016,3,16,20,-113 
2016,3,16,21,-40 
2016,3,16,22,74 
2016,3,16,23,210 
2016,3,17,0,341 
2016,3,17,1,443 
2016,3,17,2,501 
2016,3,17,3,508 
2016,3,17,4,470 
2016,3,17,5,400 
2016,3,17,6,321 
2016,3,17,7,258 
2016,3,17,8,230 
2016,3,17,9,238 
2016,3,17,10,276 
2016,3,17,11,328 
2016,3,17,12,372 
2016,3,17,13,387 
2016,3,17,14,356 
2016,3,17,15,277 
2016,3,17,16,158 
2016,3,17,17,21 
2016,3,17,18,-101 
2016,3,17,19,-175 
2016,3,17,20,-181 
2016,3,17,21,-118 
2016,3,17,22,5 
2016,3,17,23,161 
2016,3,18,0,317 
2016,3,18,1,441 
2016,3,18,2,510 
2016,3,18,3,517 
2016,3,18,4,469 
2016,3,18,5,382 
2016,3,18,6,283 
2016,3,18,7,204 
2016,3,18,8,169 
2016,3,18,9,186 
2016,3,18,10,246 
2016,3,18,11,331 
2016,3,18,12,411 
2016,3,18,13,457 
2016,3,18,14,448 
2016,3,18,15,377 
2016,3,18,16,250 
2016,3,18,17,92 
2016,3,18,18,-63 
2016,3,18,19,-173 
2016,3,18,20,-212 
2016,3,18,21,-169 
2016,3,18,22,-53 
2016,3,18,23,112 
2016,3,19,0,287 
2016,3,19,1,431 
2016,3,19,2,514 
2016,3,19,3,526 
2016,3,19,4,472 
2016,3,19,5,371 
2016,3,19,6,255 
2016,3,19,7,157 
2016,3,19,8,109 
2016,3,19,9,124 
2016,3,19,10,196 
2016,3,19,11,304 
2016,3,19,12,416 
2016,3,19,13,498 
2016,3,19,14,517 
2016,3,19,15,463 
2016,3,19,16,343 
2016,3,19,17,177 
2016,3,19,18,2 
2016,3,19,19,-139 
2016,3,19,20,-209 
2016,3,19,21,-190 
2016,3,19,22,-90 
2016,3,19,23,71 
2016,3,20,0,256 
2016,3,20,1,418 
2016,3,20,2,519 
2016,3,20,3,538 
2016,3,20,4,482 
2016,3,20,5,372 
2016,3,20,6,238 
2016,3,20,7,121 
2016,3,20,8,54 
2016,3,20,9,60 
2016,3,20,10,134 
2016,3,20,11,255 
2016,3,20,12,391 
2016,3,20,13,504 
2016,3,20,14,558 
2016,3,20,15,530 
2016,3,20,16,424 
2016,3,20,17,263 
2016,3,20,18,81 
2016,3,20,19,-81 
2016,3,20,20,-178 
2016,3,20,21,-186 
2016,3,20,22,-104 
2016,3,20,23,45 
2016,3,21,0,228 
2016,3,21,1,402 
2016,3,21,2,520 
2016,3,21,3,554 
2016,3,21,4,500 
2016,3,21,5,383 
2016,3,21,6,236 
2016,3,21,7,99 
2016,3,21,8,11 
2016,3,21,9,-1 
2016,3,21,10,67 
2016,3,21,11,192 
2016,3,21,12,342 
2016,3,21,13,478 
